"age","gender","chatgpt","characterAI","replika","aidungeon","novelai","kobold","laws_of_robotics","paperclip_maximizer","machine_learning","poi","turing_test","agi","c_turing_test","pronouns","please","friendship","love"
23,"male",1,1,0,0,0,0,1,1,1,1,1,1,"Yes","She/Her",5,5,4
24,"Female",1,0,0,0,0,0,0,0,1,0,0,0,"i dont know the Turing Test","It",3,5,5
21,"Female",1,0,0,0,0,0,1,0,1,0,1,0,"Yes","He/Him",4,4,3
37,"male",1,0,0,0,0,0,1,0,1,1,1,1,"No","It",4,5,1
20,"Female",1,1,0,0,0,0,1,0,1,0,1,0,"No","It",4,4,2
18,"Female",1,1,0,0,0,0,0,0,1,0,1,0,"Yes","It",4,3,3
23,"non binary",1,1,0,0,0,0,0,0,1,0,0,0,"i dont know the Turing Test","He/Him",5,3,3
26,"Female",1,1,0,0,0,0,1,0,1,0,1,0,"Yes","It",5,4,2
23,"male",1,1,0,0,0,0,0,0,1,0,1,0,"Yes","It",2,4,4
17,"Female",1,0,0,0,0,0,0,0,0,0,0,1,"i dont know the Turing Test","It",1,3,3
16,"Female",1,0,0,0,0,0,0,0,1,1,1,0,"No","It",5,5,5
42,"Female",1,0,0,0,0,0,1,1,1,0,1,1,"No","It",4,4,3
19,"Female",1,0,0,0,0,0,1,0,0,0,0,0,"i dont know the Turing Test","It",2,2,2
34,"Female",1,0,0,0,0,0,1,0,1,0,1,0,"No","It",4,4,4
20,"Female",1,0,0,0,0,0,1,0,1,0,1,1,"No","It",1,2,4
21,"male",1,0,0,0,0,1,1,1,1,0,1,1,"Yes","It",4,5,5
44,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","It",2,5,5
27,"male",1,0,0,1,0,0,1,1,1,0,1,1,"Yes","It",3,5,5
17,"male",1,0,0,1,0,0,1,1,1,0,1,1,"Yes","It",3,4,4
28,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","He/Him",3,2,2
27,"male",1,0,0,0,0,0,1,0,1,0,1,1,"Yes","It",1,2,1
34,"male",1,0,0,0,0,0,1,1,1,1,1,1,"No","It",1,3,3
22,"male",1,1,0,0,0,0,1,0,1,0,1,1,"No","It",5,5,5
16,"Female",1,0,1,0,0,0,0,1,1,0,0,1,"i dont know the Turing Test","They/Them",5,2,4
33,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","They/Them",4,5,3
49,"male",1,0,0,0,0,0,1,0,1,0,1,1,"Yes","It",4,4,4
40,"male",1,0,0,0,0,0,1,0,1,1,1,1,"Yes","It",5,3,2
16,"male",0,0,0,0,0,0,1,0,1,0,1,0,"No","It",4,4,4
33,"male",1,1,1,1,1,1,1,1,1,0,1,1,"Yes","It",2,5,5
20,"male",1,0,1,0,0,1,1,1,1,0,1,1,"Yes","It",3,5,5
14,"male",1,1,0,0,0,1,1,0,1,0,1,1,"No","He/Him",3,5,5
36,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","They/Them",4,1,2
19,"male",1,1,0,0,0,0,0,0,1,1,0,0,"i dont know the Turing Test","It",2,5,5
47,"male",1,1,0,0,0,0,1,1,1,1,1,1,"Yes","It",5,4,3
17,"male",1,0,0,0,0,0,1,0,1,0,1,1,"No","He/Him",1,2,2
17,"Female",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","They/Them",4,4,3
35,"male",1,0,0,0,0,0,0,1,1,0,1,1,"Yes","It",1,5,3
25,"male",1,1,1,1,1,1,1,1,1,1,1,1,"No","It",1,5,5
19,"agender",1,0,0,0,0,0,1,0,1,0,1,0,"Yes","It",5,3,4
27,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","It",3,5,5
33,"male",1,0,0,0,0,0,1,1,1,0,1,1,"No","It",3,4,3
34,"male",1,0,0,0,0,0,1,1,1,1,1,1,"No","They/Them",4,3,3
